train_start,train_end,test_end,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,gamma,min_child_weight,accuracy,f1,roc_auc,y_true,y_pred,y_proba
2021-10-08 23:10:00,2022-04-08 23:10:00,2022-05-06 23:10:00,4,0.0114619076706941,154,0.6409208044613293,0.8173012444792331,4,42,0.5313081215127092,0.5450168512277324,0.5441667395402972,[0. 0. 0. ... 1. 1. 1.],[1 0 1 ... 1 0 0],[0.5268074  0.49944955 0.5442822  ... 0.52208686 0.47435609 0.47165304]
2021-11-05 23:10:00,2022-05-05 23:10:00,2022-06-02 23:10:00,4,0.04853280932636785,128,0.6208778733201048,0.8744582693704575,4,33,0.5289522628642281,0.57126735131475,0.5401132650214271,[0. 1. 1. ... 1. 1. 0.],[0 1 1 ... 1 0 0],[0.40658942 0.5011963  0.5049061  ... 0.54383534 0.49528283 0.42590085]
2021-12-03 23:10:00,2022-06-03 23:10:00,2022-07-01 23:10:00,4,0.0408171923302639,413,0.7395801377573714,0.688210949242315,1,26,0.5128332300061996,0.5965704897833453,0.528031246922092,[0. 1. 0. ... 1. 1. 1.],[1 1 1 ... 1 1 1],[0.5529164  0.55296844 0.5398047  ... 0.6527986  0.59511715 0.5701967 ]
2021-12-31 23:10:00,2022-06-30 23:10:00,2022-07-28 23:10:00,4,0.018447422207231785,218,0.9432884520948086,0.6191181362501181,1,18,0.5373837569745815,0.46013601504847346,0.5565549910502812,[1. 0. 1. ... 0. 0. 0.],[0 0 0 ... 0 1 1],[0.4664094  0.4664759  0.4613484  ... 0.48974416 0.5106441  0.51105785]
2022-01-28 23:10:00,2022-07-28 23:10:00,2022-08-25 23:10:00,4,0.2195657430731555,128,0.5423724476694359,0.735569592344397,4,41,0.5231246125232486,0.5789358440989709,0.5293465057894444,[0. 0. 1. ... 0. 0. 1.],[1 1 1 ... 1 1 1],[0.50761044 0.5855889  0.55674714 ... 0.57188076 0.6363269  0.69807106]
2022-02-25 23:10:00,2022-08-25 23:10:00,2022-09-22 23:10:00,4,0.15429819345157864,396,0.756564805829945,0.9721906846243636,4,44,0.5154370737755735,0.5832800170612071,0.5173272898495747,[1. 1. 1. ... 1. 0. 0.],[1 1 0 ... 0 0 0],[0.6234211  0.6397711  0.4940499  ... 0.44960174 0.41157895 0.44517466]
2022-03-25 23:10:00,2022-09-25 23:10:00,2022-10-23 23:10:00,4,0.012774202636686252,153,0.5073460376205818,0.5918704118167486,4,17,0.5389956602603844,0.5728400735294118,0.5595028715754133,[0. 1. 1. ... 1. 0. 0.],[0 1 0 ... 1 0 1],[0.47731757 0.5344456  0.4954842  ... 0.5108836  0.4735076  0.5122684 ]
2022-04-22 23:10:00,2022-10-22 23:10:00,2022-11-19 23:10:00,5,0.018430930234923638,235,0.876401820868273,0.7904558623807005,1,10,0.5179169249845009,0.5915966386554622,0.5272735451799009,[1. 0. 0. ... 1. 0. 0.],[1 0 1 ... 1 1 1],[0.5044947  0.47979668 0.5030866  ... 0.5452564  0.5614905  0.5523503 ]
2022-05-20 23:10:00,2022-11-20 23:10:00,2022-12-18 23:10:00,4,0.03082388818923529,217,0.9658664114042376,0.8199922715048372,4,16,0.5473031618102914,0.5754157460169788,0.5573253778668225,[0. 0. 0. ... 0. 1. 0.],[1 1 1 ... 0 0 0],[0.5091906  0.5543078  0.5567466  ... 0.43729353 0.43725783 0.44724274]
2022-06-17 23:10:00,2022-12-17 23:10:00,2023-01-14 23:10:00,6,0.03344270828174268,100,0.6241358761962246,0.8898802042840402,4,34,0.5314321140731556,0.5606324845948145,0.5481195205322313,[1. 1. 1. ... 0. 1. 1.],[1 0 0 ... 0 1 0],[0.50768244 0.4307292  0.48947054 ... 0.42195708 0.5166401  0.45528945]
